geographic,121378,2,,,1,1,,121379,2,,,1,1,,121380,2,,,1,1,,121381,2,,,1,1,,121382,2,,,1,1,,121383,2,,,1,1,,121384,2,,,1,1,,121386,2,,,1,1,
gladwin,121385,3,1,1,,1,
gnis,121378,1,,,1,,,121379,1,,,1,,,121380,1,,,1,,,121381,1,,,1,,,121382,1,,,1,,,121383,1,,,1,,,121384,1,,,1,,,121386,1,,,1,,
grand,121378,2,,1,,1,,121379,2,,1,,1,,121380,2,,1,,1,,121381,2,,1,,1,,121382,2,,1,,1,,121383,2,,1,,1,,121384,2,,1,,1,,121386,1,,,,1,
highlighted,121386,1,,,1,,
hispanic,121379,2,,1,,1,,121381,2,,1,,1,
household,121378,2,,2,,,,121379,2,,2,,,,121380,2,,2,,,,121381,2,,2,,,,121382,2,,2,,,,121383,2,,2,,,,121384,2,,2,,,,121386,2,,2,,,
householder,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,,121386,1,,1,,,
households,121378,1,,1,,,,121379,1,,1,,,,121380,2,,2,,,,121381,1,,1,,,,121382,1,,1,,,,121383,2,,2,,,,121384,1,,1,,,,121386,1,,1,,,
housing,121380,1,,1,,,,121383,1,,1,,,
hubbard,121378,7,1,2,1,3,
huntsville,121379,2,1,,1,,
huron,121377,3,1,1,,1,
husband,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,,121386,1,,1,,,
imperial,121378,1,,,1,,,121379,1,,,1,,,121380,1,,,1,,,121381,1,,,1,,,121382,1,,,1,,,121383,1,,,1,,,121384,1,,,1,,,121386,1,,,1,,
including,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,,121386,1,,1,,,
income,121378,5,,4,,1,,121379,5,,4,,1,,121380,5,,4,,1,,121381,5,,4,,1,,121382,5,,4,,1,,121383,5,,4,,1,,121384,5,,4,,1,,121386,5,,4,,1,
incorporated,121386,1,,,1,,
individuals,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,,121386,1,,1,,,
information,121378,4,,,2,2,,121379,4,,,2,2,,121380,4,,,2,2,,121381,4,,,2,2,,121382,4,,,2,2,,121383,4,,,2,2,,121384,4,,,2,2,,121386,4,,,2,2,
inline,121378,1,,,1,,,121379,1,,,1,,,121380,1,,,1,,,121381,1,,,1,,,121382,1,,,1,,,121383,1,,,1,,,121384,1,,,1,,
johnson,121380,2,1,,1,,
kertsonville,121381,2,1,,1,,
keystone,121382,2,1,,1,,
king,121383,2,1,,1,,
knute,121384,2,1,,1,,
land,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,
latino,121379,2,,1,,1,,121381,2,,1,,1,
left,121378,1,,,1,,,121379,1,,,1,,,121380,1,,,1,,,121381,1,,,1,,,121382,1,,,1,,,121383,1,,,1,,,121384,1,,,1,,
lengby,121386,4,1,,3,,
line,121378,2,,1,,1,,121379,2,,1,,1,,121380,2,,1,,1,,121381,2,,1,,1,,121382,2,,1,,1,,121383,2,,1,,1,,121384,2,,1,,1,,121386,2,,1,,1,
list,121378,4,,,2,2,,121379,4,,,2,2,,121380,4,,,2,2,,121381,4,,,2,2,,121382,4,,,2,2,,121383,4,,,2,2,,121384,4,,,2,2,,121386,4,,,2,2,
living,121378,3,,3,,,,121379,2,,2,,,,121380,3,,3,,,,121381,3,,3,,,,121382,3,,3,,,,121383,2,,2,,,,121384,2,,2,,,,121386,3,,3,,,
location,121378,1,,,1,,,121379,1,,,1,,,121380,1,,,1,,,121381,1,,,1,,,121382,1,,,1,,,121383,1,,,1,,,121384,1,,,1,,,121386,1,,,1,,
made,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,,121386,1,,1,,,
makeup,121380,1,,1,,,,121383,1,,1,,,
males,121378,3,,3,,,,121379,3,,3,,,,121380,3,,3,,,,121381,3,,3,,,,121382,3,,3,,,,121383,3,,3,,,,121384,3,,3,,,,121386,3,,3,,,
marriage,121378,1,,,,1,,121379,1,,,,1,,121380,1,,,,1,,121381,1,,,,1,,121382,1,,,,1,,121383,1,,,,1,,121384,1,,,,1,,121386,1,,,,1,
married,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,,121386,1,,1,,,
median,121378,4,,4,,,,121379,4,,4,,,,121380,4,,4,,,,121381,4,,4,,,,121382,4,,4,,,,121383,4,,4,,,,121384,4,,4,,,,121386,4,,4,,,
